Address,City,Venue_Name,Latitude,Longitude,Miles_Away,Type,Category_ID
107 Jericho Rd,Haverhill,AFC Urgent Care Methuen,42.74801,-71.12998,4.7,Emergency Room,4bf58dd8d48988d194941735
107 Jericho Rd,Haverhill,,,,,,4bf58dd8d48988d12e941735
107 Jericho Rd,Haverhill,,,,,,4bf58dd8d48988d163941735
107 Jericho Rd,Haverhill,atkinson fire station,42.839152,-71.151867,1.7,Fire Station,4bf58dd8d48988d12c941735
107 Jericho Rd,Haverhill,Atkinson Resort & Country Club,42.820483121437896,-71.17990084768037,1.5,Golf Course,4bf58dd8d48988d1e6941735
107 Jericho Rd,Haverhill,,,,,,4bf58dd8d48988d118951735
107 Jericho Rd,Haverhill,NorEaster Amtrack Train 685,42.815299980479026,-71.11331238756118,2.0,Train,4bf58dd8d48988d129951735
113 Bridges Ln,North Andover,Boxford Fire Dept,42.695126,-71.04744,1.7,Fire Station,4bf58dd8d48988d12c941735
113 Bridges Ln,North Andover,,,,,,4bf58dd8d48988d163941735
113 Bridges Ln,North Andover,AFC Urgent Care North Andover,42.675540924072266,-71.13066101074219,3.3,Emergency Room,4bf58dd8d48988d194941735
113 Bridges Ln,North Andover,North Andover Country Club,42.69240430784517,-71.09262494446558,1.9,Golf Course,4bf58dd8d48988d1e6941735
113 Bridges Ln,North Andover,,,,,,4bf58dd8d48988d129951735
113 Bridges Ln,North Andover,Police,42.695126,-71.04744,1.7,Police Station,4bf58dd8d48988d12e941735
113 Bridges Ln,North Andover,,,,,,4bf58dd8d48988d118951735
119 Shawsheen Rd,Andover,Andover Police Dept,42.65789,-71.14258,0.7,Police Station,4bf58dd8d48988d12e941735
119 Shawsheen Rd,Andover,AFC Urgent Care North Andover,42.675540924072266,-71.13066101074219,1.7,Emergency Room,4bf58dd8d48988d194941735
119 Shawsheen Rd,Andover,Whole Foods Market,42.66117864117762,-71.14476893602662,0.6,Grocery Store,4bf58dd8d48988d118951735
119 Shawsheen Rd,Andover,MBTA Andover Station,42.658590256981874,-71.14467463584292,0.6,Train Station,4bf58dd8d48988d129951735
119 Shawsheen Rd,Andover,Andover Skate Park,42.657589596905055,-71.15519972834234,0.2,Skate Park,4bf58dd8d48988d163941735
119 Shawsheen Rd,Andover,Indian Ridge Country Club,42.64166900081071,-71.17002027053158,1.5,Golf Course,4bf58dd8d48988d1e6941735
119 Shawsheen Rd,Andover,Central Station,42.65837330996805,-71.14309642809992,0.7,Fire Station,4bf58dd8d48988d12c941735
12 Neal Rd,Danvers,The Butchery - Danvers,42.596574,-70.9597618,1.4,Grocery Store,4bf58dd8d48988d118951735
12 Neal Rd,Danvers,Ferncroft Country Club,42.604393466926,-70.97808598462073,2.5,Golf Course,4bf58dd8d48988d1e6941735
12 Neal Rd,Danvers,Marsh Family Dental,42.56945292,-70.93788299,0.9,Emergency Room,4bf58dd8d48988d194941735
12 Neal Rd,Danvers,State Police Danvers Barracks,42.586402551231025,-70.9684286599296,1.5,Police Station,4bf58dd8d48988d12e941735
12 Neal Rd,Danvers,,,,,,4bf58dd8d48988d163941735
